table,fieldName,description,dataType,units,downloadPkg,pubFormat
wss_daily_humid,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,basic,yyyy-MM-dd(floor)
wss_daily_humid,wssRHMean,Arithmetic mean of relative humidity for weather summary statistics,real,percent,basic,*.##(round)
wss_daily_humid,wssRHMinimum,Minimum relative humidity for weather summary statistics,real,percent,basic,*.##(round)
wss_daily_humid,wssRHMaximum,Maximum relative humidity for weather summary statistics,real,percent,basic,*.##(round)
wss_daily_humid,wssRHVariance,Variance in relative humidity for weather summary statistics,real,percentSquared,basic,*.##(round)
wss_daily_humid,wssRHStdErMean,Standard error of the mean for relative humidity for weather summary statistics,real,percent,basic,*.##(round)
wss_daily_humid,wssRHNumPts,Number of points used to calculate the arithmetic mean of relative humidity for weather summary statistics,real,number,basic,*.#(round)
wss_daily_humid,RHQF,"Quality flag for relative humidity summary statistics (1=fail, 0=pass)",unsigned integer,NA,basic,integer
wss_daily_humid,wssDewTempMean,Arithmetic mean of dew or frost point temperature for weather summary statistics,real,celsius,basic,*.###(round)
wss_daily_humid,wssDewTempMinimum,Minimum dew or frost point temperature for weather summary statistics,real,celsius,basic,*.###(round)
wss_daily_humid,wssDewTempMaximum,Maximum dew or frost point temperature for weather summary statistics,real,celsius,basic,*.###(round)
wss_daily_humid,wssDewTempVariance,Variance in dew or frost point temperature for weather summary statistics,real,celsiusSquared,basic,*.###(round)
wss_daily_humid,wssDewTempStdErMean,Standard error of the mean for dew or frost point temperature for weather summary statistics,real,celsius,basic,*.###(round)
wss_daily_humid,wssDewTempNumPts,Number of points used to calculate the arithmetic mean of dew or frost point temperature for weather summary statistics,real,number,basic,*.#(round)
wss_daily_humid,dewTempQF,"Quality flag for dew or frost point temperature summary statistics (1=fail, 0=pass)",unsigned integer,NA,basic,integer
wss_daily_precip,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,basic,yyyy-MM-dd(floor)
wss_daily_precip,wssPrecipTotal,Total precipitation observed for weather summary statistics,real,millimeter,basic,*.###(round)
wss_daily_precip,precipQF,"Quality flag for precipitation summary statistics (1=fail, 0=pass)",unsigned integer,NA,basic,integer
wss_daily_pres,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,basic,yyyy-MM-dd(floor)
wss_daily_pres,wssStaPresMean,Arithmetic mean of station pressure for weather summary statistics,real,kilopascal,basic,*.#####(round)
wss_daily_pres,wssStaPresMinimum,Minimum station pressure for weather summary statistics,real,kilopascal,basic,*.#####(round)
wss_daily_pres,wssStaPresMaximum,Maximum station pressure for weather summary statistics,real,kilopascal,basic,*.#####(round)
wss_daily_pres,wssStaPresVariance,Variance in station pressure for weather summary statistics,real,kilopascalsSquared,basic,*.#####(round)
wss_daily_pres,wssStaPresStdErMean,Standard error of the mean for station pressure for weather summary statistics,real,kilopascal,basic,*.#####(round)
